timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564607823521,66,Bing Search HTTP Request,200,OK,Bing Thread Group 2-44,text,true,,112530,116,1,3,http://www.bing.com/,46,0,3
1564607823473,130,Google Search HTTP Request,200,OK,Google Thread Group 1-44,text,true,,12677,118,2,2,http://www.google.com/,129,0,42
1564607823620,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-45,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607823574,123,Google Search HTTP Request,200,OK,Google Thread Group 1-45,text,true,,12665,118,2,2,http://www.google.com/,122,0,39
1564607823720,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-46,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607823675,121,Google Search HTTP Request,200,OK,Google Thread Group 1-46,text,true,,12629,118,2,2,http://www.google.com/,120,0,39
1564607823822,66,Bing Search HTTP Request,200,OK,Bing Thread Group 2-47,text,true,,112530,116,1,3,http://www.bing.com/,46,0,3
1564607823773,121,Google Search HTTP Request,200,OK,Google Thread Group 1-47,text,true,,12678,118,2,2,http://www.google.com/,120,0,42
1564607823920,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-48,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607823873,123,Google Search HTTP Request,200,OK,Google Thread Group 1-48,text,true,,12661,118,2,2,http://www.google.com/,122,0,42
1564607824021,61,Bing Search HTTP Request,200,OK,Bing Thread Group 2-49,text,true,,93083,116,1,3,http://www.bing.com/,43,0,2
1564607823975,118,Google Search HTTP Request,200,OK,Google Thread Group 1-49,text,true,,12648,118,2,2,http://www.google.com/,117,0,40
1564607824073,119,Google Search HTTP Request,200,OK,Google Thread Group 1-50,text,true,,12720,118,2,3,http://www.google.com/,118,0,39
1564607824120,76,Bing Search HTTP Request,200,OK,Bing Thread Group 2-50,text,true,,112530,116,1,2,http://www.bing.com/,49,0,4
1564607824221,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-51,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607824174,119,Google Search HTTP Request,200,OK,Google Thread Group 1-51,text,true,,12676,118,2,2,http://www.google.com/,118,0,41
1564607824320,70,Bing Search HTTP Request,200,OK,Bing Thread Group 2-52,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607824275,123,Google Search HTTP Request,200,OK,Google Thread Group 1-52,text,true,,12715,118,2,2,http://www.google.com/,123,0,42
1564607824420,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-53,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607824374,129,Google Search HTTP Request,200,OK,Google Thread Group 1-53,text,true,,12676,118,2,2,http://www.google.com/,128,0,38
1564607824519,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-54,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607824475,118,Google Search HTTP Request,200,OK,Google Thread Group 1-54,text,true,,12676,118,2,2,http://www.google.com/,117,0,39
1564607824620,70,Bing Search HTTP Request,200,OK,Bing Thread Group 2-55,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607824575,133,Google Search HTTP Request,200,OK,Google Thread Group 1-55,text,true,,12691,118,2,2,http://www.google.com/,132,0,39
1564607824720,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-56,text,true,,112530,116,1,3,http://www.bing.com/,49,0,3
1564607824675,128,Google Search HTTP Request,200,OK,Google Thread Group 1-56,text,true,,12691,118,2,2,http://www.google.com/,127,0,40
1564607824821,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-57,text,true,,112530,116,1,3,http://www.bing.com/,47,0,2
1564607824779,120,Google Search HTTP Request,200,OK,Google Thread Group 1-57,text,true,,12705,118,2,2,http://www.google.com/,119,0,42
1564607824919,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-58,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607824874,121,Google Search HTTP Request,200,OK,Google Thread Group 1-58,text,true,,12706,118,2,2,http://www.google.com/,120,0,42
1564607825020,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-59,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607824980,119,Google Search HTTP Request,200,OK,Google Thread Group 1-59,text,true,,12665,118,2,2,http://www.google.com/,118,0,39
1564607825073,121,Google Search HTTP Request,200,OK,Google Thread Group 1-60,text,true,,12643,118,2,3,http://www.google.com/,120,0,42
1564607825120,100,Bing Search HTTP Request,200,OK,Bing Thread Group 2-60,text,true,,93084,116,2,3,http://www.bing.com/,61,0,3
1564607825220,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-61,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607825173,124,Google Search HTTP Request,200,OK,Google Thread Group 1-61,text,true,,12662,118,2,2,http://www.google.com/,122,0,39
1564607825319,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-62,text,true,,112530,116,1,3,http://www.bing.com/,49,0,3
1564607825275,116,Google Search HTTP Request,200,OK,Google Thread Group 1-62,text,true,,12648,118,2,2,http://www.google.com/,115,0,39
1564607825420,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-63,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607825376,123,Google Search HTTP Request,200,OK,Google Thread Group 1-63,text,true,,12648,118,2,2,http://www.google.com/,122,0,42
1564607825520,59,Bing Search HTTP Request,200,OK,Bing Thread Group 2-64,text,true,,93083,116,1,3,http://www.bing.com/,40,0,3
1564607825474,118,Google Search HTTP Request,200,OK,Google Thread Group 1-64,text,true,,12642,118,2,2,http://www.google.com/,117,0,39
1564607825620,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-65,text,true,,112530,116,1,3,http://www.bing.com/,49,0,3
1564607825575,120,Google Search HTTP Request,200,OK,Google Thread Group 1-65,text,true,,12687,118,2,2,http://www.google.com/,119,0,42
1564607825721,60,Bing Search HTTP Request,200,OK,Bing Thread Group 2-66,text,true,,93083,116,1,3,http://www.bing.com/,41,0,2
1564607825677,126,Google Search HTTP Request,200,OK,Google Thread Group 1-66,text,true,,12694,118,2,2,http://www.google.com/,125,0,43
1564607825821,73,Bing Search HTTP Request,200,OK,Bing Thread Group 2-67,text,true,,112530,116,1,3,http://www.bing.com/,54,0,3
1564607825774,128,Google Search HTTP Request,200,OK,Google Thread Group 1-67,text,true,,12735,118,2,2,http://www.google.com/,127,0,39
1564607825920,62,Bing Search HTTP Request,200,OK,Bing Thread Group 2-68,text,true,,93083,116,1,3,http://www.bing.com/,44,0,3
1564607825877,130,Google Search HTTP Request,200,OK,Google Thread Group 1-68,text,true,,12651,118,2,2,http://www.google.com/,129,0,43
1564607825975,118,Google Search HTTP Request,200,OK,Google Thread Group 1-69,text,true,,12663,118,2,3,http://www.google.com/,117,0,39
1564607826021,104,Bing Search HTTP Request,200,OK,Bing Thread Group 2-69,text,true,,112530,116,2,3,http://www.bing.com/,64,0,3
1564607826121,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-70,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607826074,121,Google Search HTTP Request,200,OK,Google Thread Group 1-70,text,true,,12667,118,2,2,http://www.google.com/,120,0,39
1564607826222,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-71,text,true,,112530,116,1,3,http://www.bing.com/,47,0,2
1564607826173,118,Google Search HTTP Request,200,OK,Google Thread Group 1-71,text,true,,12710,118,2,2,http://www.google.com/,117,0,39
1564607826319,71,Bing Search HTTP Request,200,OK,Bing Thread Group 2-72,text,true,,112530,116,1,3,http://www.bing.com/,51,0,3
1564607826274,117,Google Search HTTP Request,200,OK,Google Thread Group 1-72,text,true,,12643,118,2,3,http://www.google.com/,116,0,38
1564607826420,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-73,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607826376,117,Google Search HTTP Request,200,OK,Google Thread Group 1-73,text,true,,12684,118,2,2,http://www.google.com/,116,0,39
1564607826473,117,Google Search HTTP Request,200,OK,Google Thread Group 1-74,text,true,,12626,118,2,3,http://www.google.com/,116,0,39
1564607826520,89,Bing Search HTTP Request,200,OK,Bing Thread Group 2-74,text,true,,112530,116,1,2,http://www.bing.com/,47,0,3
1564607826575,127,Google Search HTTP Request,200,OK,Google Thread Group 1-75,text,true,,12679,118,2,3,http://www.google.com/,126,0,42
1564607826620,83,Bing Search HTTP Request,200,OK,Bing Thread Group 2-75,text,true,,112530,116,1,2,http://www.bing.com/,62,0,3
1564607826720,66,Bing Search HTTP Request,200,OK,Bing Thread Group 2-76,text,true,,112530,116,1,3,http://www.bing.com/,46,0,3
1564607826674,125,Google Search HTTP Request,200,OK,Google Thread Group 1-76,text,true,,12695,118,2,2,http://www.google.com/,124,0,38
1564607826820,60,Bing Search HTTP Request,200,OK,Bing Thread Group 2-77,text,true,,93089,116,1,3,http://www.bing.com/,40,0,3
1564607826773,123,Google Search HTTP Request,200,OK,Google Thread Group 1-77,text,true,,12674,118,2,2,http://www.google.com/,122,0,39
1564607826920,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-78,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607826875,125,Google Search HTTP Request,200,OK,Google Thread Group 1-78,text,true,,12648,118,2,2,http://www.google.com/,124,0,39
1564607827021,63,Bing Search HTTP Request,200,OK,Bing Thread Group 2-79,text,true,,93083,116,1,3,http://www.bing.com/,42,0,2
